# Taskr #209 - the EXTRACTION endpoint round trip measured from a phone, 2026-09-08.
#
# Device      Samsung SM-S918U, Android 16, curl 8.15.0-DEV in `adb shell` over USB.
#             No browser, so nothing here is attributable to one or to a service worker.
# Function    extract-description, deployment v2, ezbr_sha256
#             46499420bb93ab3e9988b20485db12a9e648eaaaa3600a496bc2cf86aa57787a,
#             deployed 2026-09-08T01:47:25.642Z by this story.
# Analysis    docs/hosting-decision.md, section "Measured 2026-09-08".
#
# #205 measured the same path with `provision-member`, which refuses at its first
# authorization check - so it timed everything EXCEPT the endpoint own work and the
# provider call. This measures the whole thing, keeping #205 method so the two are
# comparable. Each cycle fires three calls seconds apart on one network:
#
#   level 1  no Authorization header       the GATEWAY refuses. Nothing boots.
#   level 2  publishable key only          the function boots and refuses.
#   level 3  real session + own household   the full extraction, provider included.
#
# So 3 minus 2 is the endpoint own work plus the provider, as a per-sample
# subtraction rather than an estimate, and 2 minus 1 is the boot. Levels are
# classified from the body that came back, never from which call was meant to be
# sent: 0 of 252 came back mislabelled.
#
# Networks    wifi  = first pass, on a DEGRADED link - read its level 1 control before
#                     reading anything else in it (p95 3698 ms against the other passes
#                     571 and 1403). Kept rather than discarded: it is a real evening.
#             cellular = wifi switched off for the pass and switched back on after, because
#                     `curl --interface rmnet_dataN` binds but has no route from the adb
#                     shell UID on this build ("Network is unreachable"), so #205 method of
#                     reaching both networks without touching device state did not reproduce.
#             wifi2 = second wifi pass, after the link settled.
#             The public egress address differed between the wifi and cellular passes
#             (sha256 a39562036a08 against 850410d5a84e), which is the control that the two
#             really are two networks. The addresses themselves are this household broadband
#             and cellular IPs and this repo is public, so no address column exists at all -
#             #205 carried one and redacted it; this one was never collected.
#
# Each pass ran against its OWN fixture household, created through the seeded test
# account and deleted afterwards with the absence read back. 84 level-3 calls in all,
# 28 per household, inside the 60-per-household-per-hour bound in handler.ts RATE_LIMIT.
#
# Times are seconds as curl reports them. The body column is truncated at 140 bytes.
# There are exactly three distinct bodies across all 252 rows.
#
i	ts_utc	network	level	http	dns_s	connect_s	appconnect_s	starttransfer_s	total_s	body
22	2026-09-08T02:04:58Z	cellular	3	200	0.003424	0.048186	0.123487	1.690388	1.691107	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
23	2026-09-08T02:04:58Z	cellular	1	401	0.006071	0.045403	0.123630	0.571527	0.572230	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
23	2026-09-08T02:04:59Z	cellular	2	401	0.006710	0.040223	0.098072	0.399805	0.400326	{"error":"Sign in first."}
23	2026-09-08T02:05:00Z	cellular	3	200	0.007735	0.047172	0.111636	1.433857	1.434090	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
24	2026-09-08T02:05:01Z	cellular	1	401	0.004509	0.041570	0.104909	0.360643	0.361043	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
24	2026-09-08T02:05:01Z	cellular	2	401	0.007446	0.051553	0.112535	0.338050	0.338910	{"error":"Sign in first."}
24	2026-09-08T02:05:03Z	cellular	3	200	0.007464	0.059477	0.128250	1.609495	1.610158	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
25	2026-09-08T02:05:03Z	cellular	1	401	0.005435	0.042655	0.098764	0.219868	0.220254	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
25	2026-09-08T02:05:04Z	cellular	2	401	0.008180	0.055129	0.112510	0.435333	0.435887	{"error":"Sign in first."}
25	2026-09-08T02:05:05Z	cellular	3	200	0.047910	0.080324	0.137080	1.530795	1.531393	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
26	2026-09-08T02:05:06Z	cellular	1	401	0.082942	0.111709	0.178589	0.570491	0.570704	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
26	2026-09-08T02:05:06Z	cellular	2	401	0.003983	0.039171	0.097439	0.417442	0.417753	{"error":"Sign in first."}
26	2026-09-08T02:05:08Z	cellular	3	200	0.006672	0.044963	0.100224	1.524950	1.525478	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
27	2026-09-08T02:05:08Z	cellular	1	401	0.005711	0.047070	0.119210	0.303311	0.303889	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
27	2026-09-08T02:05:09Z	cellular	2	401	0.005542	0.031241	0.096535	0.356602	0.357319	{"error":"Sign in first."}
27	2026-09-08T02:05:10Z	cellular	3	200	0.006985	0.046384	0.109764	1.417597	1.418828	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
28	2026-09-08T02:05:11Z	cellular	1	401	0.006704	0.041658	0.104550	0.360373	0.360777	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
28	2026-09-08T02:05:11Z	cellular	2	401	0.006134	0.048583	0.126944	0.406506	0.407037	{"error":"Sign in first."}
28	2026-09-08T02:05:12Z	cellular	3	200	0.004348	0.053082	0.116532	1.383433	1.384057	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
1	2026-09-08T02:06:00Z	wifi2	1	401	0.186252	0.300360	0.420745	0.580940	0.581305	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-08T02:06:01Z	wifi2	2	401	0.016854	0.045098	0.489540	0.795152	0.795570	{"error":"Sign in first."}
1	2026-09-08T02:06:03Z	wifi2	3	200	0.004001	0.033449	0.069478	1.415783	1.416154	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
2	2026-09-08T02:06:03Z	wifi2	1	401	0.003806	0.109912	0.155392	0.295359	0.295600	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-08T02:06:03Z	wifi2	2	401	0.003350	0.036059	0.134184	0.332613	0.333196	{"error":"Sign in first."}
2	2026-09-08T02:06:05Z	wifi2	3	200	0.003851	0.127861	0.284979	1.594084	1.594330	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
3	2026-09-08T02:06:05Z	wifi2	1	401	0.003020	0.096823	0.136727	0.274257	0.274469	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
3	2026-09-08T02:06:06Z	wifi2	2	401	0.001899	0.051624	0.103868	0.405988	0.406195	{"error":"Sign in first."}
3	2026-09-08T02:06:07Z	wifi2	3	200	0.002526	0.029620	0.070853	1.306746	1.307076	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
4	2026-09-08T02:06:08Z	wifi2	1	401	0.003888	0.046502	0.131369	0.289676	0.289950	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
4	2026-09-08T02:06:08Z	wifi2	2	401	0.003790	0.029105	0.060895	0.434530	0.434843	{"error":"Sign in first."}
4	2026-09-08T02:06:10Z	wifi2	3	200	0.004385	0.111586	0.195639	1.529032	1.529397	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
5	2026-09-08T02:06:10Z	wifi2	1	401	0.003612	0.076632	0.168573	0.373999	0.374255	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
5	2026-09-08T02:06:11Z	wifi2	2	401	0.004986	0.066716	0.474008	0.688016	0.688280	{"error":"Sign in first."}
5	2026-09-08T02:06:12Z	wifi2	3	200	0.003892	0.044983	0.091918	1.311728	1.312110	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
6	2026-09-08T02:06:13Z	wifi2	1	401	0.004092	0.463175	0.691548	0.950357	0.950738	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
6	2026-09-08T02:06:14Z	wifi2	2	401	0.003249	0.084896	0.197993	0.501285	0.501547	{"error":"Sign in first."}
6	2026-09-08T02:06:15Z	wifi2	3	200	0.003924	0.118613	0.185885	1.438862	1.439166	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
7	2026-09-08T02:06:16Z	wifi2	1	401	0.003869	0.134095	0.184076	0.433881	0.434187	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
7	2026-09-08T02:06:16Z	wifi2	2	401	0.003294	0.024372	0.070226	0.355259	0.355762	{"error":"Sign in first."}
7	2026-09-08T02:06:17Z	wifi2	3	200	0.003975	0.037485	0.083083	1.315031	1.315309	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
8	2026-09-08T02:06:18Z	wifi2	1	401	0.004246	0.053748	0.091518	0.253305	0.253494	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
8	2026-09-08T02:06:18Z	wifi2	2	401	0.004294	0.125738	0.180418	0.463409	0.463732	{"error":"Sign in first."}
8	2026-09-08T02:06:20Z	wifi2	3	200	0.003542	0.186752	0.245087	1.566024	1.566307	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
9	2026-09-08T02:06:20Z	wifi2	1	401	0.004227	0.131875	0.189560	0.417207	0.417535	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
9	2026-09-08T02:06:21Z	wifi2	2	401	0.003038	0.052647	0.120557	0.576961	0.577234	{"error":"Sign in first."}
9	2026-09-08T02:06:22Z	wifi2	3	200	0.003411	0.031335	0.084355	1.304624	1.304910	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
10	2026-09-08T02:06:23Z	wifi2	1	401	0.002985	0.039939	0.478240	0.610703	0.611007	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
10	2026-09-08T02:06:24Z	wifi2	2	401	0.003681	0.024691	0.096539	0.433095	0.433333	{"error":"Sign in first."}
10	2026-09-08T02:06:25Z	wifi2	3	200	0.005435	0.040160	0.097278	1.455276	1.455561	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
11	2026-09-08T02:06:25Z	wifi2	1	401	0.003996	0.037673	0.079403	0.217449	0.217750	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
11	2026-09-08T02:06:26Z	wifi2	2	401	0.003854	0.059378	0.095880	0.296704	0.296957	{"error":"Sign in first."}
11	2026-09-08T02:06:27Z	wifi2	3	200	0.002079	0.121849	0.232426	1.761662	1.762041	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
12	2026-09-08T02:06:28Z	wifi2	1	401	0.005150	0.028757	0.065149	0.156152	0.156414	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
12	2026-09-08T02:06:28Z	wifi2	2	401	0.005521	0.034617	0.082074	0.394766	0.395194	{"error":"Sign in first."}
12	2026-09-08T02:06:29Z	wifi2	3	200	0.004563	0.047153	0.167949	1.288384	1.288804	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
13	2026-09-08T02:06:30Z	wifi2	1	401	0.028383	0.064027	0.126014	0.268037	0.268326	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
13	2026-09-08T02:06:30Z	wifi2	2	401	0.036449	0.058821	0.126498	0.450851	0.450967	{"error":"Sign in first."}
13	2026-09-08T02:06:32Z	wifi2	3	200	0.016114	0.048150	0.094762	1.325375	1.325694	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
14	2026-09-08T02:06:32Z	wifi2	1	401	0.021526	0.047238	0.153843	0.290500	0.290819	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
14	2026-09-08T02:06:33Z	wifi2	2	401	0.306406	0.426278	0.545513	0.737838	0.738263	{"error":"Sign in first."}
14	2026-09-08T02:06:34Z	wifi2	3	200	0.004238	0.059864	0.138314	1.437822	1.438127	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
15	2026-09-08T02:06:35Z	wifi2	1	401	0.004410	0.039828	0.137916	0.340694	0.340979	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
15	2026-09-08T02:06:35Z	wifi2	2	401	0.002962	0.074354	0.301001	0.565948	0.566296	{"error":"Sign in first."}
15	2026-09-08T02:06:37Z	wifi2	3	200	0.001644	0.108735	0.227018	1.759075	1.759387	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
16	2026-09-08T02:06:37Z	wifi2	1	401	0.004196	0.028647	0.067656	0.220545	0.220950	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
16	2026-09-08T02:06:38Z	wifi2	2	401	0.003022	0.040296	0.067934	0.382546	0.383062	{"error":"Sign in first."}
16	2026-09-08T02:06:39Z	wifi2	3	200	0.003311	0.112384	0.165682	1.201521	1.201895	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
17	2026-09-08T02:06:41Z	wifi2	1	401	0.004541	0.031365	1.959619	2.084881	2.085171	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
17	2026-09-08T02:06:42Z	wifi2	2	401	0.003264	0.027417	0.315722	0.516147	0.516380	{"error":"Sign in first."}
17	2026-09-08T02:06:43Z	wifi2	3	200	0.004469	0.046157	0.094030	1.731238	1.735768	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
18	2026-09-08T02:06:45Z	wifi2	1	401	0.004385	0.659222	0.785368	1.403184	1.403489	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
18	2026-09-08T02:06:47Z	wifi2	2	401	0.003296	1.116339	1.626477	2.177091	2.177669	{"error":"Sign in first."}
18	2026-09-08T02:06:50Z	wifi2	3	200	0.003438	1.050299	1.389683	2.756461	2.756873	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
19	2026-09-08T02:06:50Z	wifi2	1	401	0.005107	0.053018	0.146203	0.350438	0.351418	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
19	2026-09-08T02:06:51Z	wifi2	2	401	0.004480	0.481183	0.585852	0.892643	0.892884	{"error":"Sign in first."}
19	2026-09-08T02:06:53Z	wifi2	3	200	0.004157	0.033240	0.070062	1.212056	1.212252	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
20	2026-09-08T02:06:53Z	wifi2	1	401	0.001635	0.103626	0.173579	0.467617	0.467877	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
20	2026-09-08T02:06:54Z	wifi2	2	401	0.002779	0.236146	0.280284	0.461966	0.462150	{"error":"Sign in first."}
20	2026-09-08T02:06:55Z	wifi2	3	200	0.002961	0.033219	0.072997	1.265158	1.265491	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
21	2026-09-08T02:06:55Z	wifi2	1	401	0.005306	0.038036	0.081374	0.212875	0.213149	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
21	2026-09-08T02:06:56Z	wifi2	2	401	0.004165	0.039686	0.083475	0.369869	0.370165	{"error":"Sign in first."}
21	2026-09-08T02:06:57Z	wifi2	3	200	0.004259	0.022744	0.060458	1.291701	1.292128	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
22	2026-09-08T02:06:57Z	wifi2	1	401	0.007444	0.026414	0.064069	0.149147	0.149425	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
22	2026-09-08T02:06:58Z	wifi2	2	401	0.003855	0.035490	0.076037	0.384732	0.385092	{"error":"Sign in first."}
22	2026-09-08T02:06:59Z	wifi2	3	200	0.004617	0.036248	0.075831	1.312303	1.312691	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
23	2026-09-08T02:06:59Z	wifi2	1	401	0.005379	0.031371	0.061153	0.189949	0.190203	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
23	2026-09-08T02:07:00Z	wifi2	2	401	0.003377	0.038622	0.078986	0.316943	0.317234	{"error":"Sign in first."}
23	2026-09-08T02:07:01Z	wifi2	3	200	0.003978	0.024320	0.067030	1.597158	1.597501	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
24	2026-09-08T02:07:01Z	wifi2	1	401	0.004882	0.044086	0.080157	0.213657	0.213903	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
24	2026-09-08T02:07:02Z	wifi2	2	401	0.003971	0.023295	0.047547	0.276093	0.276384	{"error":"Sign in first."}
24	2026-09-08T02:07:04Z	wifi2	3	200	0.016756	0.035760	0.370405	1.687218	1.687515	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
25	2026-09-08T02:07:04Z	wifi2	1	401	0.021225	0.042528	0.074302	0.198585	0.198793	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
25	2026-09-08T02:07:04Z	wifi2	2	401	0.018780	0.050236	0.087337	0.437680	0.437957	{"error":"Sign in first."}
25	2026-09-08T02:07:05Z	wifi2	3	200	0.003268	0.034068	0.071670	1.160214	1.160683	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
26	2026-09-08T02:07:06Z	wifi2	1	401	0.005433	0.025686	0.049975	0.170641	0.170904	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
26	2026-09-08T02:07:06Z	wifi2	2	401	0.002979	0.037680	0.078546	0.361704	0.361887	{"error":"Sign in first."}
26	2026-09-08T02:07:07Z	wifi2	3	200	0.003267	0.020931	0.049424	1.113566	1.113859	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
27	2026-09-08T02:07:07Z	wifi2	1	401	0.003225	0.033958	0.074725	0.208917	0.209232	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
27	2026-09-08T02:07:08Z	wifi2	2	401	0.003646	0.030746	0.061401	0.325765	0.326048	{"error":"Sign in first."}
27	2026-09-08T02:07:09Z	wifi2	3	200	0.003590	0.040398	0.078533	1.290948	1.291236	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
28	2026-09-08T02:07:09Z	wifi2	1	401	0.004687	0.026127	0.053746	0.259874	0.260152	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
28	2026-09-08T02:07:10Z	wifi2	2	401	0.003195	0.029762	0.069985	0.363134	0.363359	{"error":"Sign in first."}
28	2026-09-08T02:07:11Z	wifi2	3	200	0.003951	0.024791	0.057995	1.289809	1.290076	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
